,id,author_id,created_at,lang,text,classific,score
0,1,16.30789806,2022-06-15 21:23:53+00:00,pt,"Pandemia acelerou transformação digital da mão de obra do trabalho, diz especialista https://t.co/at6xYjNRPG https://t.co/v73oHIZJ5x",neutro,0.5595238095238094
1,2,30.12152731,2022-06-15 21:23:51+00:00,pt,"não tenho estrutura nenhuma pra minha gata com covid, eu fico grudada nessa mulher de segunda a segunda;;;",neutro,0.5
2,3,60.11008242,2022-06-15 21:23:49+00:00,pt,RT @g_garc2: Tempos estranhos...;;;,neutro,0.5
3,4, - , - ,pt,Pandemia politicamente correta. ;;;,neutro,0.5
4,5, - , - ,pt,"A que ponto chegamos! https://t.co/Yg9bwd6tog"";;;",neutro,0.5
5,6,63.12932635,2022-06-15 21:23:48+00:00,pt,"@karinamichelin Deu covid, hj tosse...  muita tosse;;;",neutro,0.5
6,7,82.98345338,2022-06-15 21:23:47+00:00,pt,"RT @Rconstantino: Rapaz, tomou todos os cuidados, ficou embaixo da cama com duas máscaras, tomou 18 doses de vacina, e os sintomas foram fo…;;;",neutro,0.5909090909090907
7,8,0.266741252,2022-06-16 21:23:54+00:00,pt,COVID: Brasil registra 151 óbitos e 32 mil casos nas últimas 24h. https://t.co/xwE96iaK41 https://t.co/uzfOHrYcRA;;;,positivo,0.7500000000000009
8,9,1.24794302,2022-06-16 21:23:54+00:00,pt,"RT @jandira_feghali: O Brasil está prestes a perder 28 MILHÕES de doses de vacina contra a covid-19. E não tem incentivo à vacinação, não t…;;;",neutro,0.5909090909090907
9,10,3.951990138,2022-06-16 21:23:54+00:00,pt,"@JoaoGabriel_jgl simmm, e olha q nunca tive covid;;;",neutro,0.5
10,11,13.14646858,2022-06-16 21:23:54+00:00,pt,"@oelyredna @oatila Oi, tudo bem? Acho que o investimento nessa tecnologia é interessante porque ela consegue atualizar a vacina bem mais rápido que as outras. Eu lembro de um post aqui fazendo essa comparação, mas não achei a fonte, foi mal;;;",positivo,0.7137931034482763
11,12,18.18487453,2022-06-16 21:23:53+00:00,pt,"RT @rmotta2: Enquanto o mundo caminha para a recessão, o Brasil entra em nova era de crescimento.;;;",positivo,0.9156479217603904
12,13, - , - ,pt,"A causa é simples, e foi explicada por P…"";;;",neutro,0.5
13,14,33.27188199,2022-06-16 21:23:52+00:00,pt,"@EduardoLeite_ vc conseguiu tirar o cara que salvou o nosso país da pandemia, e quem é vc ?;;;",negativo,0.2499999999999997
14,15, - , - ,pt,"https://t.co/IeQjmLyWuE"";;;",neutro,0.5
15,16,34.75347149,2022-06-16 21:23:52+00:00,pt,RT @10_5_6_5: 1/9) Como surgiram famosos propagadores de fake news: Não havia como usar conteúdo que youtubers publicavam em seus canais co…;;;,negativo,0.2940553515955944
16,17,77.28996974,2022-06-16 21:23:47+00:00,pt,"RT @AxelJorge92: Lula e seus aliados, que desviaram milhões no combate a covid.;;;",neutro,0.5
17,18, - , - ,pt,"Lula e seus corruptos do consórcio nordeste. https://t.co/…"";;;",neutro,0.5
18,19,81.1119376,2022-06-16 21:23:47+00:00,pt,"@caloura_lu Amiga, tô muito doente e o que me deixa mais puta é que não é covid;;;",neutro,0.5
19,20,88.13982733,2022-06-16 21:23:46+00:00,pt,Por que será??? Será que o povo viu que não adianta nada? Será que é porque tiveram reação à vacina? 👀👀;;;,negativo,0.2499999999999997
