;id;author_id;created_at;lang;text;classific;score
7;1;0.266741252;2022-06-16 21:23:54+00:00;pt;"COVID: Brasil registra 151 óbitos e 32 mil casos nas últimas 24h. https://t.co/xwE96iaK41 https://t.co/uzfOHrYcRA;;;";positivo;0.7500000000000009
10;2;1.314.646.858;2022-06-16 21:23:54+00:00;pt;"@oelyredna @oatila Oi, tudo bem? Acho que o investimento nessa tecnologia é interessante porque ela consegue atualizar a vacina bem mais rápido que as outras. Eu lembro de um post aqui fazendo essa comparação, mas não achei a fonte, foi mal;;;";positivo;0.7137931034482763
11;3;1.818.487.453;2022-06-16 21:23:53+00:00;pt;"RT @rmotta2: Enquanto o mundo caminha para a recessão, o Brasil entra em nova era de crescimento.;;;";positivo;0.9156479217603904
13;4;3.327.188.199;2022-06-16 21:23:52+00:00;pt;"@EduardoLeite_ vc conseguiu tirar o cara que salvou o nosso país da pandemia, e quem é vc ?;;;";negativo;0.2499999999999997
15;5;3.475.347.149;2022-06-16 21:23:52+00:00;pt;"RT @10_5_6_5: 1/9) Como surgiram famosos propagadores de fake news: Não havia como usar conteúdo que youtubers publicavam em seus canais co…;;;";negativo;0.2940553515955944
19;6;8.813.982.733;2022-06-16 21:23:46+00:00;pt;"Por que será??? Será que o povo viu que não adianta nada? Será que é porque tiveram reação à vacina? 👀👀;;;";negativo;0.2499999999999997
21;7;8.710.309.634;2022-06-17 21:23:52+00:00;pt;"@JackssonAndre @PapaPezzoo @geglobo Ano passado teve pandemia, quando liberou o estádio total foi 60 mil;;;";negativo;0.37195121951219473
24;8;2.441.055.102;2022-06-17 21:23:50+00:00;pt;"@beltraomaria Estou com covid pela segunda vez, na primeira foi osso, essa segunda, graças a Deus, estou bem!;;;";negativo;0.37500000000000044
27;9;421.290.862;2022-06-17 21:23:47+00:00;pt;@ShyrlaneK @alesilva_38 ENGRAÇADO É AUE OS FUNCIONÁRIOS MAIS ANTIGOS DA PETROBRÁS DIZEM QUE QUEM ROUBAVA TUDO QUE ERA LUCRO ERA O LADRÃO DE 9 DEDOS,E AGRADECEM O ATUAL GOVERNO POR TENTAR PAGAR A CONTA,PRA ANO QUE VEM,SEM PANDEMIA E OS ROUBOS DELE, A ;positivo;0.8230769230769229
28;10;1.146.398.946;2022-06-18 21:23:54+00:00;pt;"RT @senadorhumberto: Denunciada na CPI da Covid, a Prevent Senior está sendo investigada pelo MP de São Paulo por supostos crimes cometidos…;;;";positivo;0.7825964991023343
34;11; - ; - ;pt;"Kenobi;;;";positivo;0.8437499999999998
36;12; - ; - ;pt;"Umbrella academy"";;;";negativo;0.28048780487804864
